                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.4658,                0.59162,                 1.2371,                0.78803,                0.73668,                0.84528,                0.45529,                 1.7278,                 1.4359,                 1.5532,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.4566,                0.59301,                 1.2319,                0.66736,                0.68094,                0.75204,                0.41995,                 1.6119,                 1.4858,                 1.4743,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.4579,                0.59423,                 1.2281,                0.70784,                0.82619,                0.87411,                0.46624,                 1.7653,                 1.3635,                 1.5738,               0.008713,               0.008713,               0.008713
                     67,                 1.4611,                0.59197,                 1.2431,                0.80507,                0.69688,                0.78905,                0.43227,                 1.6485,                 1.6351,                 1.4863,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.4542,                0.59176,                 1.2268,                0.75904,                 0.7358,                0.77103,                0.43668,                 1.6629,                  1.417,                   1.48,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.4492,                0.58638,                 1.2344,                0.74756,                0.69033,                0.81143,                0.44534,                 1.6345,                 1.3936,                 1.5093,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.4452,                0.58198,                 1.2287,                0.78035,                0.87186,                0.91021,                0.48459,                 1.7257,                 1.1082,                 1.5606,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.4548,                0.58465,                  1.236,                0.89324,                0.69674,                0.78516,                0.42293,                 1.6882,                 1.5018,                 1.5151,               0.008614,               0.008614,               0.008614
                     72,                 1.4607,                 0.5845,                 1.2287,                0.81123,                0.67544,                0.72968,                0.41324,                  1.576,                  1.702,                 1.4481,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.4528,                0.58679,                 1.2349,                0.79394,                0.62595,                0.77442,                0.40891,                 1.7408,                 1.6996,                  1.557,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.4466,                0.58609,                   1.23,                0.78612,                0.71718,                0.79683,                 0.4324,                 1.6502,                 1.4203,                    1.5,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.4513,                0.58151,                 1.2207,                 0.7767,                0.73507,                0.80555,                0.41472,                 1.8469,                 1.5934,                  1.659,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.4406,                0.58124,                 1.2178,                 0.8413,                 0.7851,                0.83914,                0.46435,                 1.6795,                  1.249,                 1.5053,               0.008515,               0.008515,               0.008515
                     77,                 1.4518,                0.57902,                 1.2335,                0.91412,                0.64349,                0.84072,                0.45508,                 1.7068,                 1.5187,                 1.5159,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.4388,                0.58385,                 1.2279,                0.69562,                0.84658,                0.80851,                0.42274,                 1.8218,                 1.3204,                 1.6073,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.4485,                0.57706,                 1.2176,                0.83215,                0.79404,                  0.902,                0.50184,                 1.6419,                 1.3598,                 1.4825,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.4465,                0.57487,                  1.225,                0.84251,                0.64066,                0.77931,                 0.4476,                 1.6424,                 1.4988,                 1.5108,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.4507,                0.57461,                 1.2362,                0.81458,                0.67799,                 0.7931,                0.44351,                 1.6381,                 1.4304,                  1.495,               0.008416,               0.008416,               0.008416
                     82,                 1.4469,                0.57243,                 1.2242,                0.78586,                0.71115,                0.81563,                0.47319,                 1.5682,                 1.4355,                 1.4724,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.4379,                0.56948,                 1.2169,                0.85347,                0.60878,                0.72245,                0.38516,                 1.7972,                 1.6898,                 1.6142,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.4368,                0.57733,                  1.223,                0.81932,                0.73018,                0.83397,                0.43693,                 1.7765,                 1.3952,                 1.5997,              0.0083566,              0.0083566,              0.0083566
                     85,                  1.435,                0.57706,                 1.2342,                0.84054,                0.70289,                0.78453,                0.44713,                 1.5987,                  1.732,                 1.4704,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.4415,                0.57153,                 1.2335,                0.81899,                 0.6211,                0.76835,                0.42127,                 1.6949,                 1.5394,                 1.5201,               0.008317,               0.008317,               0.008317
                     87,                  1.441,                0.56718,                 1.2257,                 0.8216,                0.69366,                 0.8272,                0.45658,                 1.6435,                 1.5107,                 1.4949,              0.0082972,              0.0082972,              0.0082972
                     88,                  1.426,                0.56495,                 1.2206,                0.80837,                0.66588,                0.71438,                0.41606,                 1.4864,                 1.6642,                  1.424,              0.0082774,              0.0082774,              0.0082774
